Depth,Temperature,FCond
26.28,24.8098,595.173
26.33,24.7978,595.133
26.38,24.8162,594.937
26.43,24.8346,594.701
26.48,24.8162,595.784
26.53,24.8346,595.228
26.58,24.8571,594.729
26.63,24.8529,595.242
26.68,24.8529,594.624
26.73,24.8529,594.361
26.78,24.8713,594.756
26.83,24.8529,595.708
26.88,24.8747,594.493
26.93,24.8676,593.76
26.98,24.8897,594.39
27.03,24.8676,595.076
27.08,24.8713,594.528
27.13,24.8529,594.257
27.18,24.8713,594.361
27.23,24.8713,594.389
27.28,24.8713,595.973
27.33,24.8529,594.52
27.38,24.8713,594.756
27.43,24.8897,594.916
27.48,24.8713,596.266
27.53,24.8897,595.048
27.58,24.8897,594.548
27.63,24.9265,594.68
27.68,24.8897,595.927
27.73,24.9062,595.472
27.78,24.9081,595.557
27.83,24.9265,595.104
27.88,24.9448,594.605
27.93,24.9265,595.956
27.98,24.9255,595.001
28.03,24.9448,595.31
28.08,24.9448,594.37
28.13,24.9632,594.238
28.18,24.9448,595.323
28.23,24.9448,594.37
28.28,24.9265,594.501
28.33,24.9448,595.001
28.38,24.9265,596.221
28.43,24.9448,595.397
28.48,24.9265,595.757
28.53,24.9624,595.794
28.58,24.9632,596.165
28.63,24.9632,595.191
28.68,24.9816,595.191
28.73,24.9799,595.22
28.78,24.9816,596.32
28.83,24.9975,595.22
28.88,25,595.462
28.93,24.9975,594.72
28.98,25.0183,594.452
29.03,24.9975,595.544
29.08,25.015,594.326
29.13,24.9816,595.237
29.18,25,595.088
29.23,24.9975,595.117
29.28,24.9816,596.222
29.33,25,595.617
29.38,24.9975,595.249
29.43,25.0183,596.349
29.48,25.015,595.147
29.53,25.0183,594.859
29.58,25.0325,596.341
29.63,25.0325,595.392
29.68,25.0367,596.406
29.73,25.0325,595.707
29.78,25.0676,595.519
29.83,25.0551,595.957
29.88,25.0735,595.472
29.93,25.0735,594.972
29.98,25.0735,596.566
30.03,25.0735,595.369
30.08,25.1027,595.369
30.13,25.0735,596.016
30.18,25.0852,595.502
30.23,25.1102,595.226
30.28,25.0919,596.362
