Depth,Temperature,FCond,  Depth ft
32.862,24.1049,627.067,107.817
32.912,24.1134,628.138,107.981
32.962,24.1382,625.221,108.145
33.012,24.1049,626.662,108.309
33.063,24.1453,624.937,108.473
33.112,24.1168,627.581,108.637
33.162,24.1049,629.988,108.801
33.212,24.1453,634.455,108.965
33.262,24.1251,638.665,109.129
33.313,24.1251,638.394,109.293
33.362,24.1453,640.432,109.457
33.412,24.1453,634.44,109.621
33.462,24.1251,642.011,109.785
33.512,24.1596,641.735,109.949
33.563,24.1326,643.993,110.113
33.612,24.1596,640.601,110.277
33.662,24.1453,641.613,110.441
33.712,24.1656,639.22,110.605
33.762,24.1596,642.101,110.769
33.813,24.1453,644.591,110.933
33.862,24.1858,650.339,111.097
33.912,24.1656,657.91,111.261
33.962,24.19,661.559,111.426
34.012,24.19,664.089,111.59
34.063,24.1858,662.764,111.754
34.112,24.19,661.862,111.918
34.162,24.206,664.658,112.082
34.212,24.1858,665.366,112.246
34.262,24.19,664.656,112.41
34.313,24.206,666.372,112.574
34.362,24.1858,663.762,112.738
34.412,24.206,665.058,112.902
34.462,24.206,661.768,113.066
34.512,24.19,664.162,113.23
34.563,24.1858,666.754,113.394
34.612,24.2092,669.096,113.558
34.662,24.2092,673.423,113.722
34.712,24.1858,675.183,113.886
34.762,24.2092,675.246,114.05
34.813,24.206,676.165,114.214
34.862,24.2262,675.361,114.378
34.912,24.2092,677.347,114.542
34.962,24.1858,677.347,114.706
35.012,24.2262,663.057,114.87
35.063,24.2092,679.018,115.034
35.112,24.2262,677.544,115.198
35.162,24.206,680.276,115.363
35.212,24.2464,679.947,115.527
35.262,24.2475,682.506,115.691
35.313,24.2262,682.546,115.855
35.362,24.2475,682.384,116.019
35.412,24.2667,684.154,116.183
35.462,24.2284,684.27,116.347
35.512,24.2667,683.635,116.511
35.563,24.2667,686.034,116.675
35.612,24.2667,687.105,116.839
35.662,24.2667,687.105,117.003
35.712,24.2667,689.258,117.167
35.762,24.2858,686.902,117.331
35.813,24.2667,689.06,117.495
35.862,24.2869,689.553,117.659
35.912,24.2858,687.876,117.823
35.962,24.2858,689.265,117.987
36.012,24.2858,689.469,118.151
36.063,24.2667,689.265,118.315
36.112,24.2858,688.123,118.479
36.162,24.2858,689.674,118.643
36.212,24.305,690.084,118.807
36.262,24.2667,689.591,118.971
36.313,24.305,688.327,119.135
36.362,24.2858,689.591,119.3
36.412,24.3071,690.084,119.464
36.462,24.2858,688.218,119.628
36.512,24.305,690.29,119.792
36.563,24.3241,689.796,119.956
36.612,24.2858,689.712,120.12
36.662,24.305,688.447,120.284
36.712,24.3241,689.796,120.448
36.762,24.305,689.507,120.612
36.813,24.305,690.001,120.776
36.862,24.3241,687.955,120.94
36.912,24.3241,689.507,121.104
36.962,24.3273,689.507,121.268
37.012,24.3241,688.777,121.432
37.063,24.3475,690.534,121.596
37.112,24.3071,689.987,121.76
37.162,24.3433,688.002,121.924
37.212,24.3241,689.219,122.088
37.262,24.3273,689.098,122.252
37.313,24.3395,686.624,122.416
37.362,24.3273,687.366,122.58
37.412,24.3241,688.993,122.744
37.462,24.3433,686.243,122.908
37.512,24.3433,687.992,123.072
37.563,24.3433,687.176,123.237
37.612,24.3273,686.769,123.401
37.662,24.3433,685.339,123.565
37.712,24.3475,686.363,123.729
37.762,24.3475,685.251,123.893
37.813,24.3624,686.751,124.057
37.862,24.206,685.873,124.221
37.912,24.3624,662.365,124.385
37.962,24.3678,685.264,124.549
38.012,24.4008,683.243,124.713
38.063,24.3816,682.875,124.877
38.112,24.388,682.154,125.041
38.162,24.4008,678.507,125.205
38.212,24.4199,680.067,125.369
38.262,24.388,678.986,125.533
38.313,24.4199,677.042,125.697
38.362,24.4008,677.594,125.861
38.412,24.4082,677.679,126.025
38.462,24.4284,674.869,126.189
38.512,24.4199,676.445,126.353
38.563,24.4082,675.813,126.517
38.612,24.4199,674.04,126.681
38.662,24.4082,674.239,126.845
38.712,24.4199,672.799,127.01
38.762,24.4487,674.042,127.174
38.813,24.4008,674.068,127.338
38.862,24.4391,671.78,127.502
38.912,24.4487,671.805,127.666
38.962,24.4199,671.589,127.83
39.012,24.4391,668.397,127.994
39.062,24.4391,669.472,128.158
39.112,24.4284,669.472,128.322
39.162,24.4391,667.791,128.486
39.212,24.4487,668.891,128.65
39.262,24.4391,668.515,128.814
39.312,24.4487,665.428,128.978
39.362,24.4582,667.904,129.142
39.412,24.4689,667.454,129.306
39.462,24.4582,663.968,129.47
39.512,24.4774,663.433,129.634
39.562,24.4487,661.449,129.798
39.612,24.4774,660.456,129.962
39.662,24.4965,661.071,130.126
39.712,24.4582,660.606,130.29
39.762,24.4965,660.025,130.454
39.812,24.4891,659.475,130.618
39.862,24.4965,657.694,130.782
39.912,24.5093,653.876,130.947
39.962,24.4891,655.633,131.111
40.012,24.5157,653.767,131.275
40.062,24.5093,652.312,131.439
40.112,24.4965,650.759,131.603
40.162,24.5157,646.739,131.767
40.212,24.5157,647.739,131.931
