     Depth,Temperature,FCond 25'C
         m,      deg C,     uS/cm
     22.15,    24.5757,   572.208
     22.20,    24.5757,   572.796
     22.25,    24.5764,   572.796
     22.30,    24.5757,   572.106
     22.35,    24.5757,   572.796
     22.40,    24.5764,   572.796
     22.45,    24.5925,   571.991
     22.50,    24.5925,   572.698
     22.55,    24.5925,   572.587
     22.60,    24.5757,   572.698
     22.65,    24.6115,    571.91
     22.70,    24.5764,   572.829
     22.75,    24.5925,   572.222
     22.80,    24.6092,   572.698
     22.85,    24.5764,   572.711
     22.90,    24.6092,   572.454
     22.95,    24.6115,   572.711
     23.00,    24.5925,   573.178
     23.05,    24.6092,   572.144
     23.10,    24.5925,   572.933
     23.15,     24.626,   573.253
     23.20,    24.5925,   572.836
     23.25,    24.6291,   572.365
     23.30,    24.6071,   573.076
     23.35,    24.6115,   572.816
     23.40,     24.626,   572.365
     23.45,    24.6291,   572.947
     23.50,    24.6092,   573.308
     23.55,     24.626,   572.268
     23.60,    24.6291,   573.058
     23.65,     24.626,   573.308
     23.70,     24.626,    572.06
     23.75,     24.626,   573.169
     23.80,    24.6428,   573.058
     23.85,    24.6092,    572.85
     23.90,    24.6466,   572.268
     23.95,    24.6428,   572.974
     24.00,     24.626,    572.85
     24.05,    24.6428,    572.17
     24.10,    24.6466,   572.961
     24.15,     24.626,    573.09
     24.20,    24.6466,    572.17
     24.25,    24.6428,   573.207
     24.30,    24.6466,   572.961
     24.35,    24.6428,   572.162
     24.40,    24.6466,   573.072
     24.45,    24.6428,   572.278
     24.50,    24.6596,   573.183
     24.55,    24.6428,   572.864
     24.60,    24.6428,   573.072
     24.65,    24.6428,   572.184
     24.70,    24.6642,   573.072
     24.75,    24.6554,   573.222
     24.80,    24.6466,   572.749
     24.85,    24.6428,   572.394
     24.90,    24.6466,   573.183
     24.95,    24.6596,   572.394
     25.00,    24.6596,   572.975
     25.05,    24.6466,   572.975
     25.10,    24.6764,   572.394
     25.15,    24.6596,   572.767
     25.20,    24.6596,   573.086
     25.25,    24.6596,   573.086
     25.30,    24.6817,   572.087
     25.35,    24.6596,    573.12
     25.40,    24.6596,   573.086
     25.45,    24.6764,   572.087
     25.50,    24.6764,   572.989
     25.55,    24.6642,   572.878
     25.60,    24.6817,   572.408
     25.65,    24.6764,   573.237
     25.70,    24.6642,   572.989
     25.75,    24.6931,   572.408
     25.80,    24.6642,   572.892
     25.85,    24.6931,   572.524
     25.90,    24.6764,   572.892
     25.95,    24.6931,   573.212
     26.00,    24.6642,   573.003
     26.05,    24.6931,   572.524
     26.10,    24.6931,   573.003
     26.15,    24.6764,   573.003
     26.20,    24.6931,   572.323
     26.25,    24.6875,   573.003
     26.30,    24.6992,   572.989
     26.35,    24.6931,   573.252
     26.40,    24.6817,   572.004
     26.45,    24.7099,   573.586
     26.50,    24.6764,   572.795
     26.55,    24.6931,   572.323
     26.60,    24.6931,   573.003
     26.65,    24.7099,   573.003
     26.70,    24.6817,   572.907
     26.75,    24.6931,   572.307
     26.80,    24.7099,   573.003
     26.85,    24.6931,   572.795
     26.90,    24.6931,   572.004
     26.95,    24.7099,   573.003
     27.00,    24.6931,   572.795
     27.05,    24.6931,   573.003
     27.10,    24.7168,   572.004
     27.15,    24.7099,   573.034
     27.20,    24.6992,   572.795
     27.25,    24.7099,   572.322
     27.30,    24.6992,   572.907
     27.35,    24.7099,   572.438
     27.40,    24.7099,   573.018
     27.45,    24.7099,   573.129
     27.50,    24.7099,   573.241
     27.55,    24.7099,    572.24
     27.60,    24.7197,   573.241
     27.65,    24.7036,   572.911
     27.70,    24.7197,   573.217
     27.75,    24.7099,   573.017
     27.80,    24.7197,   573.352
     27.85,    24.7267,   573.124
     27.90,    24.7036,   573.367
     27.95,    24.7099,    573.43
     28.00,    24.7197,   572.573
     28.05,    24.7197,   573.338
     28.10,    24.7099,   573.231
     28.15,    24.7197,   573.687
     28.20,    24.7197,   573.444
     28.25,    24.7267,   573.231
     28.30,    24.7197,   573.479
     28.35,    24.7435,   573.444
     28.40,    24.7197,   573.382
     28.45,    24.7358,   573.338
     28.50,    24.7267,   573.245
     28.55,    24.7435,   572.588
     28.60,    24.7358,   573.382
     28.65,    24.7435,   573.245
     28.70,    24.7519,   573.382
     28.75,    24.7435,   573.152
     28.80,    24.7519,   573.382
     28.85,    24.7435,   573.046
     28.90,    24.7358,   572.491
     28.95,    24.7519,   573.352
     29.00,    24.7603,   573.259
     29.05,    24.7435,   573.285
     29.10,     24.768,   573.605
     29.15,    24.7519,    573.06
     29.20,    24.7603,   573.259
     29.25,    24.7435,   573.397
     29.30,     24.768,   572.602
     29.35,    24.7603,   573.167
     29.40,    24.7519,   573.509
     29.45,     24.768,   573.473
     29.50,     24.768,   573.274
     29.55,    24.7603,   573.274
     29.60,     24.768,    573.62
     29.65,     24.784,   573.274
     29.70,    24.7603,   573.075
     29.75,     24.768,    573.62
     29.80,     24.784,   573.274
     29.85,    24.7603,   573.075
     29.90,     24.777,   572.617
     29.95,     24.768,   573.412
     30.00,     24.777,   573.274
     30.05,     24.777,   573.524
     30.10,     24.768,   573.524
     30.15,     24.777,   573.381
     30.20,     24.768,   572.632
     30.25,     24.784,   573.595
     30.30,     24.777,   573.396
     30.35,     24.784,   573.636
     30.40,     24.777,   573.289
     30.45,     24.784,   573.636
     30.50,     24.777,   573.289
     30.55,     24.784,   573.747
     30.60,     24.777,   573.396
     30.65,    24.7938,   572.632
     30.70,     24.777,    573.54
     30.75,    24.7938,   573.747
     30.80,    24.8001,    573.54
     30.85,     24.784,   573.303
     30.90,    24.7938,   573.396
     30.95,     24.784,   572.536
     31.00,    24.8001,   573.289
     31.05,    24.8001,   573.196
     31.10,     24.784,   573.089
     31.15,    24.8106,   573.289
     31.20,    24.8001,    573.22
     31.25,    24.8001,   573.089
     31.30,    24.8001,   572.983
     31.35,    24.8106,   572.983
     31.40,    24.8162,   572.997
     31.45,    24.8106,   572.677
     31.50,    24.8001,   573.108
     31.55,    24.7938,   572.876
     31.60,    24.8162,   572.313
     31.65,    24.8001,   572.677
     31.70,    24.8106,   572.769
     31.75,    24.8162,   572.997
     31.80,    24.8162,    572.57
     31.85,    24.8162,    572.57
     31.90,    24.8106,    572.57
     31.95,    24.8162,   572.997
     32.00,    24.8106,    572.57
     32.05,    24.8162,   572.885
     32.10,    24.8106,   572.677
     32.15,    24.8106,   571.883
     32.20,    24.8162,   572.997
     32.25,    24.8274,   572.677
     32.30,    24.8323,   572.678
     32.35,    24.8162,   572.478
     32.40,    24.8323,   572.677
     32.45,    24.8162,   572.478
     32.50,    24.8323,    572.57
     32.55,    24.8274,   572.371
     32.60,    24.8323,   572.678
     32.65,    24.8323,   572.371
     32.70,    24.8323,   572.371
     32.75,    24.8484,   572.371
     32.80,    24.8274,   572.173
     32.85,    24.8274,   571.787
     32.90,    24.8484,   572.789
     32.95,    24.8442,   572.279
     33.00,    24.8323,   572.582
     33.05,    24.8484,   572.585
     33.10,    24.8323,   572.279
     33.15,    24.8484,   572.478
     33.20,    24.8484,   572.279
     33.25,    24.8442,   572.279
     33.30,    24.8484,   572.582
     33.35,    24.8323,   572.279
     33.40,    24.8484,   572.478
     33.45,    24.8442,   572.279
     33.50,    24.8609,   571.691
     33.55,    24.8484,   572.486
     33.60,    24.8609,   572.386
     33.65,    24.8484,   572.375
     33.70,    24.8484,   572.386
     33.75,    24.8644,   572.386
     33.80,    24.8644,   572.188
     33.85,    24.8644,   572.188
     33.90,    24.8484,   572.081
     33.95,    24.8644,   572.279
     34.00,    24.8644,   572.188
     34.05,    24.8644,   572.081
     34.10,    24.8805,   572.188
     34.15,    24.8644,   571.989
     34.20,    24.8777,   572.188
     34.25,    24.8609,   572.279
     34.30,    24.8644,   571.485
     34.35,    24.8805,   572.188
     34.40,    24.8805,   571.989
     34.45,    24.8644,   571.989
     34.50,    24.8805,   572.188
     34.55,    24.8805,   571.989
     34.60,    24.8777,   571.989
     34.65,    24.8805,   572.279
     34.70,    24.8805,   571.989
     34.75,    24.8805,   571.989
     34.80,    24.8945,   571.989
     34.85,    24.8805,   572.072
     34.90,    24.8945,   571.989
     34.95,    24.8805,   572.183
     35.00,    24.8777,   571.989
     35.05,    24.8805,   571.389
     35.10,    24.8966,   571.989
     35.15,    24.8805,   571.898
     35.20,    24.8966,   571.989
     35.25,    24.8805,   571.791
     35.30,    24.8945,   572.096
     35.35,    24.8966,   572.072
     35.40,    24.8966,   571.791
     35.45,    24.8966,   571.791
     35.50,    24.8985,   571.791
     35.55,    24.9113,   571.635
     35.60,    24.9127,   571.754
     35.65,    24.8945,     571.7
     35.70,    24.9127,   572.183
     35.75,    24.9113,     571.7
     35.80,    24.8985,   571.865
     35.85,    24.9127,   571.635
     35.90,    24.9127,     571.7
     35.95,    24.9127,     571.7
     36.00,    24.9113,     571.7
     36.05,    24.9127,   572.088
     36.10,    24.9127,   571.593
     36.15,    24.9288,     571.7
     36.20,    24.9127,   571.502
     36.25,    24.9113,     571.7
     36.30,    24.9113,   571.087
     36.35,    24.9288,   571.977
     36.40,    24.9281,   571.502
     36.45,    24.9288,   571.881
     36.50,    24.9127,   571.608
     36.55,    24.9288,     571.7
     36.60,    24.9288,   571.608
     36.65,    24.9288,   571.608
     36.70,    24.9448,   571.715
     36.75,    24.9288,   571.786
     36.80,    24.9448,   571.608
     36.85,    24.9288,   571.517
     36.90,    24.9448,   571.822
     36.95,    24.9288,   571.624
     37.00,    24.9448,   571.715
     37.05,    24.9288,   570.896
     37.10,    24.9448,   571.822
     37.15,    24.9448,   571.624
     37.20,    24.9448,   571.898
     37.25,    24.9609,    571.73
     37.30,    24.9448,   571.426
     37.35,    24.9294,    571.73
     37.40,    24.9448,   571.562
     37.45,    24.9616,    571.73
     37.50,    24.9448,   571.691
     37.55,    24.9448,    571.73
     37.60,    24.9609,   571.624
     37.65,    24.9448,   571.639
     37.70,    24.9616,    571.73
     37.75,    24.9784,   571.802
     37.80,    24.9609,   571.596
     37.85,    24.9448,   571.532
     37.90,    24.9609,   571.118
     37.95,     24.977,   571.746
     38.00,    24.9609,   571.548
     38.05,     24.977,   571.746
     38.10,    24.9609,   571.548
     38.15,     24.977,   571.853
     38.20,     24.977,   571.655
     38.25,     24.977,   571.655
     38.30,     24.977,   571.548
     38.35,     24.977,   571.655
     38.40,     24.977,   571.548
     38.45,    24.9784,   571.762
     38.50,    24.9931,    571.93
     38.55,    24.9784,   571.564
     38.60,     24.977,    571.93
     38.65,    24.9931,   571.762
     38.70,     24.977,   571.564
     38.75,    24.9931,   571.762
     38.80,     24.977,   571.564
     38.85,    24.9931,   571.762
     38.90,     24.977,   571.564
     38.95,    24.9931,   571.869
     39.00,    24.9931,   571.564
     39.05,    24.9931,   571.564
     39.10,    24.9952,   571.671
     39.15,    24.9931,   571.836
     39.20,    24.9952,   571.671
     39.25,    24.9931,   570.833
     39.30,    25.0119,   571.671
     39.35,    25.0092,   571.741
     39.40,    24.9931,   571.473
     39.45,    25.0066,   571.778
     39.50,    25.0092,    571.33
     39.55,    25.0287,   571.687
     39.60,    25.0092,   571.646
     39.65,    25.0092,    571.58
     39.70,    25.0252,   571.687
     39.75,    25.0066,   571.489
     39.80,    25.0287,   571.535
     39.85,    25.0092,   571.758
     39.90,    25.0287,   571.687
     39.95,    25.0252,   571.758
     40.00,    25.0092,   571.596
     40.05,    25.0252,   571.794
     40.10,    25.0252,   571.596
     40.15,    25.0252,   571.703
     40.20,    25.0252,   571.596
     40.25,    25.0252,   571.703
     40.30,    25.0413,   571.703
     40.35,    25.0252,   571.505
     40.40,    25.0252,   571.596
     40.45,    25.0252,   571.703
     40.50,    25.0413,   571.703
     40.55,    25.0252,   571.399
     40.60,    25.0455,    571.81
     40.65,    25.0119,   571.775
     40.70,    25.0413,   571.295
     40.75,    25.0413,   571.719
     40.80,    25.0252,   571.719
     40.85,    25.0413,   572.024
     40.90,    25.0413,   571.826
     40.95,    25.0413,   571.933
     41.00,    25.0413,   571.826
     41.05,    25.0529,   571.933
     41.10,    25.0413,   572.404
     41.15,    25.0574,   571.933
     41.20,    25.0413,   571.736
     41.25,    25.0455,    572.04
     41.30,    25.0574,   571.217
     41.35,    25.0413,   571.843
     41.40,    25.0623,   572.148
     41.45,    25.0529,   572.016
     41.50,    25.0574,   571.684
     41.55,    25.0574,    571.95
     41.60,    25.0838,   571.843
     41.65,    25.0455,    572.23
     41.70,    25.0574,   571.329
     41.75,    25.0683,   571.843
     41.80,    25.0574,    572.42
     41.85,    25.0735,   571.843
     41.90,    25.0574,   571.645
     41.95,    25.0455,    571.95
     42.00,    25.0735,   571.329
     42.05,    25.0623,   571.645
     42.10,    25.0574,   572.127
     42.15,    25.0735,    571.95
     42.20,    25.0574,   571.645
     42.25,    25.0735,    571.95
     42.30,    25.0574,   571.645
     42.35,    25.0735,    571.95
     42.40,    25.0574,   571.645
     42.45,    25.0735,   571.843
