     Depth,Temperature,TC FCond 25'C
         m,      deg C,        uS/cm
     18.38,    24.1211,      773.921
     18.43,    24.1393,      774.165
     18.48,    24.1326,      773.612
     18.53,    24.1134,      774.356
     18.58,    24.1393,      772.114
     18.63,    24.1326,      773.368
     18.68,    24.1211,      774.356
     18.73,    24.1211,      773.921
     18.78,    24.1326,      773.677
     18.83,    24.1393,      774.356
     18.88,    24.1393,      773.612
     18.93,    24.1326,      773.856
     18.98,    24.1453,      774.099
     19.03,    24.1168,      772.399
     19.08,    24.1517,      773.233
     19.13,    24.1517,      774.031
     19.18,    24.1326,      774.031
     19.23,    24.1517,      774.356
     19.28,    24.1326,      771.978
     19.33,    24.1575,      774.614
     19.38,    24.1517,       773.06
     19.43,    24.1393,      774.031
     19.48,    24.1393,      773.612
     19.53,    24.1517,      773.612
     19.58,    24.1575,      773.774
     19.63,    24.1326,      773.304
     19.68,    24.1393,       771.79
     19.73,    24.1517,      773.368
     19.78,    24.1393,      773.774
     19.83,    24.1517,      773.368
     19.88,    24.1517,      773.517
     19.93,    24.1326,      773.774
     19.98,    24.1326,       771.79
     20.03,    24.1517,      774.099
     20.08,    24.1326,      773.774
     20.13,    24.1251,      774.099
     20.18,    24.1326,       771.93
     20.23,     24.128,      773.841
     20.28,    24.1332,      773.234
     20.33,    24.1173,      774.122
     20.38,    24.1178,      772.665
     20.43,    24.1292,      773.444
     20.48,    24.1087,      773.756
     20.53,    24.1188,      773.405
     20.58,    24.1263,      773.451
     20.63,     24.206,      774.917
     20.68,    24.2005,      773.744
     20.73,    24.1939,      772.598
     20.78,     24.206,      774.154
     20.83,     24.223,      773.948
     20.88,     24.217,      774.886
     20.93,    24.2121,      772.318
     20.98,    24.2284,      773.601
     21.03,    24.2121,      773.763
     21.08,    24.2303,      773.601
     21.13,    24.2121,      773.049
     21.18,    24.2303,      773.601
     21.23,    24.2303,      773.049
     21.28,    24.2284,      773.293
     21.33,    24.2147,      773.763
     21.38,    24.2475,      772.929
     21.43,    24.2303,      773.439
