Depth,Temperature,FCond,  Depth ft
21.697,24.2387,664.258,71.1833
21.747,24.2363,664.258,71.3473
21.797,24.2387,665.125,71.5114
21.847,24.2387,664.258,71.6754
21.897,24.2363,667.045,71.8394
21.947,24.2387,665.125,72.0035
21.997,24.2387,664.536,72.1675
22.047,24.2387,664.536,72.3316
22.097,24.2667,664.536,72.4956
22.147,24.2387,666.637,72.6597
22.197,24.2363,664.536,72.8237
22.247,24.2667,665.427,72.9877
22.297,24.2363,664.129,73.1518
22.347,24.2387,665.427,73.3158
22.397,24.2947,664.536,73.4799
22.447,24.2387,666.229,73.6439
22.497,24.2667,664.813,73.8079
22.547,24.2387,664.407,73.972
22.597,24.2667,664.813,74.136
22.647,24.2667,666.917,74.3001
22.697,24.2667,664.407,74.4641
22.747,24.2387,664.407,74.6282
22.797,24.2667,665.091,74.7922
22.847,24.2667,666.917,74.9562
22.897,24.2667,664.685,75.1203
22.947,24.2667,663.911,75.2843
22.997,24.2667,667.197,75.4484
23.047,24.2667,665.288,75.6124
23.097,24.2407,664.685,75.7764
23.147,24.2947,664.546,75.9405
23.197,24.2667,667.069,76.1045
23.247,24.2667,664.169,76.2686
23.297,24.2667,664.685,76.4326
23.347,24.2667,667.477,76.5967
23.397,24.2667,664.963,76.7607
23.447,24.2667,664.169,76.9247
23.497,24.2667,667.477,77.0888
23.547,24.2667,664.169,77.2528
23.597,24.2927,664.685,77.4169
23.647,24.2667,666.119,77.5809
23.697,24.2947,664.169,77.745
23.747,24.297,667.069,77.909
23.797,24.2667,665.149,78.073
23.847,24.2667,664.685,78.2371
23.897,24.2927,664.963,78.4011
23.947,24.2947,666.119,78.5652
23.997,24.2667,664.556,78.7292
24.047,24.2947,664.963,78.8932
24.097,24.2947,664.278,79.0573
24.147,24.2667,667.349,79.2213
24.197,24.2947,664.169,79.3854
24.247,24.2947,664.835,79.5494
24.297,24.2947,667.069,79.7135
24.347,24.2667,664.556,79.8775
24.397,24.3187,664.963,80.0415
24.447,24.297,666,80.2056
24.497,24.2947,665.149,80.3696
24.547,24.2947,664.835,80.5337
24.597,24.2947,664.556,80.6977
24.647,24.3227,664.835,80.8618
24.697,24.2947,666.941,81.0258
24.747,24.2927,664.835,81.1898
24.797,24.3227,664.565,81.3539
24.847,24.2947,666.941,81.5179
24.897,24.3227,664.835,81.682
24.947,24.2947,664.428,81.846
24.997,24.3507,665.113,82.01
25.047,24.2927,666.814,82.1741
25.097,24.3227,664.565,82.3381
25.147,24.3507,664.707,82.5022
25.197,24.3227,667.095,82.6662
25.247,24.2947,664.707,82.8303
25.297,24.3227,665.392,82.9943
25.347,24.3507,664.985,83.1583
25.397,24.3227,667.095,83.3224
25.447,24.3507,664.985,83.4864
25.497,24.3227,664.858,83.6505
25.547,24.3507,665.264,83.8145
25.597,24.3227,667.376,83.9785
25.647,24.3447,665.264,84.1426
25.697,24.3507,664.328,84.3066
25.747,24.3227,667.376,84.4707
25.797,24.3447,665.543,84.6347
25.847,24.3507,664.328,84.7988
25.897,24.3507,667.376,84.9628
25.947,24.3507,664.858,85.1268
25.997,24.3507,664.858,85.2909
26.047,24.3507,665.137,85.4549
26.097,24.3507,667.376,85.619
26.147,24.3507,664.858,85.783
26.197,24.3507,665.137,85.9471
26.247,24.3787,664.858,86.1111
26.297,24.3507,667.249,86.2751
26.347,24.3787,664.858,86.4392
26.397,24.3707,664.731,86.6032
26.447,24.3507,666.544,86.7673
26.497,24.3787,664.858,86.9313
26.547,24.3507,664.731,87.0953
26.597,24.3967,664.858,87.2594
26.647,24.3787,666.166,87.4234
26.697,24.3787,664.731,87.5875
26.747,24.3787,664.731,87.7515
26.797,24.3787,667.249,87.9156
26.847,24.3787,664.731,88.0796
26.897,24.3787,664.731,88.2436
26.947,24.4067,664.731,88.4077
26.997,24.3787,666.842,88.5717
27.047,24.3787,664.731,88.7358
27.097,24.3967,665.01,88.8998
27.147,24.4067,666.426,89.0639
27.197,24.3787,664.604,89.2279
27.247,24.4227,665.01,89.3919
27.297,24.3787,666.57,89.556
27.347,24.4067,665.289,89.72
27.397,24.3787,664.604,89.8841
27.447,24.4347,665.568,90.0481
27.497,24.4067,667.278,90.2121
27.547,24.3787,665.162,90.3762
27.597,24.4067,665.568,90.5402
27.647,24.4227,665.442,90.7043
27.697,24.4067,666.83,90.8683
27.747,24.4067,665.442,91.0324
27.797,24.4627,665.721,91.1964
27.847,24.4067,666.872,91.3604
27.897,24.4067,665.442,91.5245
27.947,24.4487,665.442,91.6885
27.997,24.4347,666.714,91.8526
28.047,24.4347,665.036,92.0166
28.097,24.4746,665.036,92.1806
28.147,24.4347,666.598,92.3447
28.197,24.4627,665.315,92.5087
28.247,24.4608,665.469,92.6728
28.297,24.4627,665.982,92.8368
28.347,24.479,664.631,93.0009
28.397,24.4627,665.536,93.1649
28.447,24.5006,664.91,93.3289
28.497,24.4487,666.221,93.493
28.547,24.4906,665.672,93.657
28.597,24.4627,664.505,93.8211
28.647,24.5186,664.91,93.9851
28.697,24.4627,666.622,94.1492
28.747,24.5093,665.19,94.3132
28.797,24.4906,664.795,94.4772
28.847,24.4906,664.505,94.6413
28.897,24.5186,664.785,94.8053
28.947,24.479,666.622,94.9694
28.997,24.5186,665.536,95.1334
29.047,24.479,664.38,95.2974
29.097,24.5186,665.536,95.4615
29.147,24.5186,664.38,95.6255
29.197,24.5093,664.38,95.7896
29.247,24.5186,665.401,95.9536
29.297,24.5093,667.467,96.1177
29.347,24.5186,665.401,96.2817
29.397,24.5186,664.939,96.4457
29.447,24.5186,664.66,96.6098
29.497,24.5466,664.939,96.7738
29.547,24.5186,667.061,96.9379
29.597,24.5396,664.939,97.1019
29.647,24.5186,665.266,97.266
29.697,24.5466,664.939,97.43
29.747,24.5396,664.815,97.594
29.797,24.5466,665.57,97.7581
29.847,24.5396,667.061,97.9221
29.897,24.5466,665.57,98.0862
29.947,24.57,664.815,98.2502
29.997,24.5186,665.132,98.4142
30.047,24.5466,665.219,98.5783
30.097,24.57,664.815,98.7423
30.147,24.5746,665.435,98.9064
30.197,24.5466,666.938,99.0704
30.247,24.5466,664.815,99.2345
30.297,24.5466,665.095,99.3985
30.347,24.5746,664.815,99.5625
30.397,24.57,666.938,99.7266
30.447,24.5746,665.435,99.8906
30.497,24.5746,664.411,100.055
30.547,24.57,664.691,100.219
30.597,24.5746,665.132,100.383
30.647,24.57,664.691,100.547
30.697,24.6026,665.435,100.711
30.747,24.6003,666.815,100.875
30.797,24.5746,664.997,101.039
30.847,24.5746,664.971,101.203
30.897,24.6026,664.691,101.367
30.947,24.6026,664.567,101.531
30.997,24.5746,666.815,101.695
31.047,24.6026,664.971,101.859
31.097,24.6026,664.287,102.023
31.147,24.6003,664.567,102.187
31.197,24.6026,664.997,102.351
31.247,24.6026,666.815,102.515
31.297,24.6306,664.287,102.679
31.347,24.6003,664.164,102.843
31.397,24.6026,665.301,103.007
31.447,24.6586,664.847,103.171
31.497,24.6026,666.287,103.336
31.547,24.6306,664.847,103.5
31.597,24.6026,665.472,103.664
31.647,24.6026,664.847,103.828
31.697,24.6566,665.127,103.992
31.747,24.6026,666.055,104.156
31.797,24.6306,665.127,104.32
31.847,24.6306,664.444,104.484
31.897,24.6306,666.43,104.648
31.947,24.6306,664.724,104.812
31.997,24.6566,664.724,104.976
32.047,24.6586,666.316,105.14
32.097,24.6306,664.601,105.304
32.147,24.6586,665.472,105.468
32.197,24.6586,664.601,105.632
32.247,24.6586,667.134,105.796
32.297,24.6566,664.881,105.96
32.347,24.6586,664.229,106.124
32.397,24.6586,667.134,106.288
32.447,24.6586,664.881,106.452
32.497,24.6586,664.881,106.616
32.547,24.6826,664.601,106.78
32.597,24.6586,666.465,106.944
32.647,24.6586,664.601,107.108
32.697,24.6826,664.881,107.273
32.747,24.6866,666.465,107.437
32.797,24.6586,664.478,107.601
32.847,24.7146,664.881,107.765
32.897,24.6586,666.89,107.929
32.947,24.6866,665.443,108.093
32.997,24.6586,664.759,108.257
33.047,24.7146,665.443,108.421
33.097,24.6826,667.173,108.585
33.147,24.6586,664.376,108.749
33.197,24.7086,665.724,108.913
33.247,24.6866,666.352,109.077
33.297,24.7086,665.04,109.241
33.347,24.6866,666.614,109.405
33.397,24.7086,664.759,109.569
33.447,24.7426,664.262,109.733
33.497,24.6866,666.769,109.897
33.547,24.7146,664.759,110.061
33.597,24.7146,664.637,110.225
33.647,24.7426,664.918,110.389
33.697,24.7146,666.769,110.553
33.747,24.7086,664.918,110.717
33.797,24.7426,664.523,110.881
33.847,24.7146,667.052,111.045
33.897,24.7146,664.918,111.21
33.947,24.7346,664.918,111.374
33.997,24.7146,666.501,111.538
34.047,24.7086,664.918,111.702
34.097,24.7426,664.523,111.866
34.147,24.7426,667.335,112.03
34.197,24.7346,664.515,112.194
34.247,24.7426,664.409,112.358
34.297,24.7426,667.335,112.522
34.347,24.7426,664.515,112.686
34.397,24.7346,664.796,112.85
34.447,24.7426,666.763,113.014
34.497,24.7346,664.796,113.178
34.547,24.7706,664.67,113.342
34.597,24.7346,666.931,113.506
34.647,24.7426,664.409,113.67
34.697,24.7606,664.796,113.834
34.747,24.7426,666.651,113.998
34.797,24.7606,664.796,114.162
34.847,24.7606,666.651,114.326
34.897,24.7426,664.036,114.49
34.947,24.7606,664.796,114.654
34.997,24.7606,666.389,114.818
35.047,24.7706,664.297,114.982
35.097,24.7426,667.214,115.147
35.147,24.7606,665.077,115.311
35.197,24.7866,664.297,115.475
35.247,24.7706,666.539,115.639
35.297,24.7866,664.675,115.803
35.347,24.7866,666.539,115.967
35.397,24.7866,664.184,116.131
35.447,24.8266,666.802,116.295
35.497,24.7866,664.152,116.459
35.547,24.8386,664.445,116.623
35.597,24.8126,666.054,116.787
35.647,24.8546,664.333,116.951
35.697,24.8266,666.855,117.115
35.747,24.8126,664.996,117.279
35.797,24.8546,664.594,117.443
35.847,24.8126,667.422,117.607
35.897,24.8386,664.855,117.771
35.947,24.8266,666.842,117.935
35.997,24.8386,665.278,118.099
36.047,24.8386,664.482,118.263
36.097,24.8126,666.842,118.427
36.147,24.8646,665.117,118.591
36.197,24.8386,666.468,118.755
36.247,24.8646,664.482,118.919
36.297,24.8386,666.731,119.084
36.347,24.8646,664.482,119.248
36.397,24.8546,666.468,119.412
36.447,24.8546,665.158,119.576
36.497,24.8646,664.876,119.74
36.547,24.8733,666.731,119.904
36.597,24.8546,665.337,120.068
36.647,24.8546,664.876,120.232
36.697,24.8826,665.158,120.396
36.747,24.8546,667.303,120.56
36.797,24.8646,664.876,120.724
36.847,24.8826,664.371,120.888
