     Depth,Temperature,TN FCond 25'C,  Depth ft
         m,      deg C,        uS/cm,        ft
    22.775,    23.8187,       541.25,   74.7198
    22.825,    23.7907,      540.734,   74.8838
    22.875,    23.7987,       541.25,   75.0478
    22.925,    23.7907,      542.395,   75.2119
    22.975,    23.8187,       541.25,   75.3759
    23.025,    23.7987,      540.916,     75.54
    23.075,    23.7907,      542.395,    75.704
    23.125,    23.8187,       541.25,   75.8681
    23.175,    23.8187,      541.098,   76.0321
    23.225,    23.7987,      542.562,   76.1961
    23.275,    23.7907,      541.037,   76.3602
    23.325,    23.8187,      541.433,   76.5242
    23.375,    23.7987,      542.562,   76.6883
    23.425,    23.7907,      540.868,   76.8523
    23.475,    23.8247,       541.25,   77.0163
    23.525,    23.7907,      542.254,   77.1804
    23.575,    23.8247,       541.25,   77.3444
    23.625,    23.7987,      542.084,   77.5085
    23.675,    23.8247,      540.868,   77.6725
    23.725,    23.7987,      542.084,   77.8366
    23.775,    23.7907,      540.868,   78.0006
    23.825,    23.8467,      541.433,   78.1646
    23.875,    23.7907,      542.227,   78.3287
    23.925,    23.8187,       541.25,   78.4927
    23.975,    23.7907,      540.916,   78.6568
    24.025,    23.8507,      541.433,   78.8208
    24.075,    23.7907,      541.773,   78.9848
    24.125,    23.8187,       541.25,   79.1489
    24.175,    23.8467,      541.281,   79.3129
    24.225,    23.7987,      542.227,    79.477
    24.275,    23.8187,      541.037,    79.641
    24.325,    23.8467,      541.098,   79.8051
    24.375,    23.8247,       542.41,   79.9691
    24.425,    23.8187,      540.727,   80.1331
    24.475,    23.8507,      541.281,   80.2972
    24.525,    23.8187,      541.944,   80.4612
    24.575,    23.8187,      541.281,   80.6253
    24.625,    23.8467,      541.463,   80.7893
    24.675,    23.8467,      542.778,   80.9534
    24.725,    23.8187,      540.947,   81.1174
    24.775,    23.8247,      541.463,   81.2814
    24.825,    23.8467,      542.425,   81.4455
    24.875,    23.8187,      541.312,   81.6095
    24.925,    23.8507,      541.463,   81.7736
    24.975,    23.8187,      542.454,   81.9376
    25.025,    23.8467,      541.829,   82.1016
    25.075,    23.8507,      541.495,   82.2657
    25.125,    23.8467,      542.454,   82.4297
    25.175,    23.8247,      541.677,   82.5938
    25.225,    23.8467,      541.575,   82.7578
    25.275,    23.8467,      543.513,   82.9219
    25.325,    23.8467,      541.495,   83.0859
    25.375,    23.8507,      541.312,   83.2499
    25.425,    23.8467,      542.625,    83.414
    25.475,    23.8467,      541.677,    83.578
    25.525,    23.8507,       542.41,   83.7421
    25.575,    23.8467,      542.966,   83.9061
    25.625,    23.8467,      542.594,   84.0702
    25.675,    23.8767,       541.86,   84.2342
    25.725,    23.8467,      543.167,   84.3982
    25.775,    23.8507,       542.41,   84.5623
    25.825,    23.8747,      541.944,   84.7263
    25.875,    23.8467,      543.915,   84.8904
    25.925,    23.8767,      543.698,   85.0544
    25.975,    23.8747,      541.803,   85.2184
    26.025,    23.8467,      544.285,   85.3825
    26.075,    23.8747,      543.145,   85.5465
    26.125,    23.8767,      542.994,   85.7106
    26.175,    23.8747,      544.367,   85.8746
    26.225,    23.8467,      543.362,   86.0387
    26.275,    23.9027,      543.329,   86.2027
    26.325,    23.8467,      543.883,   86.3667
    26.375,    23.8767,      543.329,   86.5308
    26.425,    23.9027,      542.655,   86.6948
    26.475,    23.8507,      544.319,   86.8589
    26.525,    23.8747,      542.625,   87.0229
    26.575,    23.9027,      542.994,   87.1869
    26.625,    23.8747,      543.712,    87.351
    26.675,    23.8767,       542.81,    87.515
    26.725,    23.8747,      544.023,   87.6791
    26.775,    23.9027,        544.1,   87.8431
    26.825,    23.8747,      543.949,   88.0072
    26.875,    23.9027,       544.47,   88.1712
    26.925,    23.8767,      545.617,   88.3352
    26.975,    23.8747,      544.195,   88.4993
    27.025,    23.9027,       544.47,   88.6633
    27.075,    23.8747,      545.431,   88.8274
    27.125,    23.8767,       544.84,   88.9914
    27.175,    23.8467,      545.916,   89.1555
    27.225,    23.8187,      543.329,   89.3195
    27.275,    23.8767,      541.646,   89.4835
    27.325,    23.8467,      543.681,   89.6476
    27.375,    23.8507,      544.621,   89.8116
    27.425,    23.8467,      542.114,   89.9757
    27.475,    23.8247,      544.067,   90.1397
    27.525,    23.8467,      540.896,   90.3037
    27.575,    23.8467,      540.947,   90.4678
    27.625,    23.8187,      542.778,   90.6318
    27.675,    23.8247,      541.281,   90.7959
    27.725,    23.8467,      540.727,   90.9599
    27.775,    23.8467,       542.41,    91.124
    27.825,    23.8187,      540.947,    91.288
    27.875,    23.8247,      541.281,    91.452
    27.925,    23.8187,      542.254,   91.6161
    27.975,    23.8467,      541.281,   91.7801
    28.025,    23.8187,      540.947,   91.9442
    28.075,    23.8247,      541.281,   92.1082
    28.125,    23.8187,      542.425,   92.2723
    28.175,    23.8187,      541.463,   92.4363
    28.225,    23.8467,      541.281,   92.6003
    28.275,    23.7907,      542.778,   92.7644
    28.325,    23.8187,      541.615,   92.9284
    28.375,    23.8247,      541.463,   93.0925
    28.425,    23.8187,      542.425,   93.2565
    28.475,    23.7907,      541.463,   93.4205
    28.525,    23.8187,      541.798,   93.5846
    28.575,    23.8247,      541.463,   93.7486
    28.625,    23.8187,      542.595,   93.9127
    28.675,    23.7907,      541.463,   94.0767
    28.725,    23.8187,      541.981,   94.2408
    28.775,    23.8247,      543.297,   94.4048
    28.825,    23.7907,      541.235,   94.5688
    28.875,    23.8467,      542.164,   94.7329
    28.925,    23.7987,      542.961,   94.8969
    28.975,    23.8187,      541.885,    95.061
    29.025,    23.8467,      542.012,    95.225
    29.075,    23.8187,      543.145,    95.389
    29.125,    23.8187,      542.379,   95.5531
    29.175,    23.8187,      541.646,   95.7171
    29.225,    23.8467,      541.463,   95.8812
    29.275,    23.8187,      542.961,   96.0452
    29.325,    23.8187,      541.646,   96.2093
    29.375,    23.8247,      541.646,   96.3733
    29.425,    23.8187,      542.765,   96.5373
    29.475,    23.8187,      541.646,   96.7014
    29.525,    23.8507,      541.646,   96.8654
    29.575,    23.8187,      542.625,   97.0295
    29.625,    23.8187,      541.829,   97.1935
    29.675,    23.8247,      541.829,   97.3576
    29.725,    23.8467,      542.936,   97.5216
    29.775,    23.8117,      541.495,   97.6856
    29.825,    23.8187,      542.325,   97.8497
    29.875,    23.8187,      541.829,   98.0137
    29.925,    23.8467,      542.012,   98.1778
    29.975,    23.8247,      543.145,   98.3418
    30.025,    23.8187,      541.405,   98.5058
    30.075,    23.8247,      541.829,   98.6699
    30.125,    23.8187,      542.936,   98.8339
    30.175,    23.8507,      541.829,    98.998
    30.225,    23.7907,      542.625,    99.162
    30.275,    23.8247,      542.164,   99.3261
    30.325,    23.8467,      541.405,   99.4901
    30.375,    23.7987,      543.145,   99.6541
    30.425,    23.8187,      541.716,   99.8182
    30.475,    23.8187,      541.646,   99.9822
    30.525,    23.8247,      543.481,   100.146
    30.575,    23.8187,      541.235,    100.31
    30.625,    23.8187,      541.829,   100.474
    30.675,    23.8187,      543.297,   100.638
    30.725,    23.7987,      541.829,   100.802
    30.775,    23.8467,      541.376,   100.966
    30.825,    23.7907,      543.145,   101.131
    30.875,    23.8247,      542.164,   101.295
    30.925,    23.8187,      541.405,   101.459
    30.975,    23.8187,      543.297,   101.623
    31.025,    23.7987,      541.646,   101.787
    31.075,    23.8187,      541.716,   101.951
    31.125,    23.8187,      543.113,   102.115
    31.175,    23.7987,      541.646,   102.279
    31.225,    23.8467,      541.716,   102.443
    31.275,    23.7907,      543.145,   102.607
    31.325,    23.8187,      542.164,   102.771
    31.375,    23.8187,      541.829,   102.935
    31.425,    23.8247,      541.829,   103.099
    31.475,    23.7907,      542.765,   103.263
    31.525,    23.8187,      542.164,   103.427
    31.575,    23.8247,      541.646,   103.591
    31.625,    23.7907,      542.936,   103.755
    31.675,    23.8187,      541.798,   103.919
    31.725,    23.8187,      541.463,   104.083
    31.775,    23.8187,      543.297,   104.247
    31.825,    23.7907,      541.646,   104.411
    31.875,    23.8247,      541.798,   104.575
    31.925,    23.8187,      542.595,   104.739
    31.975,    23.7907,      541.646,   104.903
    32.025,    23.8187,      542.164,   105.068
    32.075,    23.8117,      541.646,   105.232
    32.125,    23.8187,      541.928,   105.396
    32.175,    23.8187,      543.297,    105.56
    32.225,    23.8187,      541.646,   105.724
    32.275,    23.8247,      541.646,   105.888
    32.325,    23.7907,      542.595,   106.052
    32.375,    23.8117,      541.981,   106.216
    32.425,    23.8187,      541.928,    106.38
    32.475,    23.7907,      541.646,   106.544
    32.525,    23.8467,      541.981,   106.708
    32.575,    23.7907,      543.145,   106.872
    32.625,    23.8247,      541.981,   107.036
    32.675,    23.8187,      541.405,     107.2
    32.725,    23.7987,      543.297,   107.364
    32.775,    23.8187,      541.546,   107.528
    32.825,    23.8187,      541.829,   107.692
    32.875,    23.8117,      542.929,   107.856
    32.925,    23.8187,      542.126,    108.02
    32.975,    23.8187,      541.646,   108.184
    33.025,    23.7907,      541.646,   108.348
    33.075,    23.8467,      541.981,   108.512
    33.125,    23.7907,       542.41,   108.676
    33.175,    23.8117,      541.615,    108.84
    33.225,    23.7907,      541.532,   109.005
    33.275,    23.8247,      541.981,   109.169
    33.325,    23.8187,      542.425,   109.333
    33.375,    23.8187,      541.463,   109.497
    33.425,    23.7907,      541.646,   109.661
    33.475,    23.8187,      541.798,   109.825
    33.525,    23.8187,      543.113,   109.989
    33.575,    23.8187,      541.463,   110.153
    33.625,    23.7907,      541.281,   110.317
    33.675,    23.8467,      541.615,   110.481
    33.725,    23.7907,      542.778,   110.645
    33.775,    23.8187,      541.981,   110.809
    33.825,    23.7907,      541.281,   110.973
    33.875,    23.8467,      541.798,   111.137
    33.925,    23.7907,      542.961,   111.301
    33.975,    23.8247,      541.798,   111.465
    34.025,    23.8187,      541.235,   111.629
    34.075,    23.7907,      543.297,   111.793
    34.125,    23.8187,      541.615,   111.957
    34.175,    23.8187,      541.646,   112.121
    34.225,    23.8247,      541.463,   112.285
    34.275,    23.8187,      542.765,   112.449
    34.325,    23.7907,      541.463,   112.613
